Begin Training!
Epoch 1/50, Training Loss: 2.62412, Validation Loss: 2.31068
Epoch 2/50, Training Loss: 2.12175, Validation Loss: 2.04612
Epoch 3/50, Training Loss: 2.04435, Validation Loss: 2.02402
Epoch 4/50, Training Loss: 2.01746, Validation Loss: 2.01161
Epoch 5/50, Training Loss: 2.01220, Validation Loss: 2.00230
Epoch 6/50, Training Loss: 2.00459, Validation Loss: 2.00300
Epoch 7/50, Training Loss: 1.99145, Validation Loss: 1.99724
Epoch 8/50, Training Loss: 1.98249, Validation Loss: 1.99283
Epoch 9/50, Training Loss: 1.98464, Validation Loss: 1.99748
Epoch 10/50, Training Loss: 1.97552, Validation Loss: 2.00325
Epoch 11/50, Training Loss: 1.96642, Validation Loss: 1.98896
Epoch 12/50, Training Loss: 1.96266, Validation Loss: 1.97719
Epoch 13/50, Training Loss: 1.95920, Validation Loss: 1.98447
Epoch 14/50, Training Loss: 1.95467, Validation Loss: 1.98391
Epoch 15/50, Training Loss: 1.95073, Validation Loss: 1.99267
Epoch 16/50, Training Loss: 1.94838, Validation Loss: 1.97768
Epoch 17/50, Training Loss: 1.94234, Validation Loss: 1.97307
Epoch 18/50, Training Loss: 1.93839, Validation Loss: 1.98957
Epoch 19/50, Training Loss: 1.93473, Validation Loss: 1.98598
Epoch 20/50, Training Loss: 1.92858, Validation Loss: 1.97984
Epoch 21/50, Training Loss: 1.92928, Validation Loss: 1.97506
Epoch 22/50, Training Loss: 1.92360, Validation Loss: 1.98547
Epoch 23/50, Training Loss: 1.92293, Validation Loss: 1.97622
Epoch 24/50, Training Loss: 1.91763, Validation Loss: 1.99009
Epoch 25/50, Training Loss: 1.91797, Validation Loss: 1.98066
Epoch 26/50, Training Loss: 1.91143, Validation Loss: 1.98397
Epoch 27/50, Training Loss: 1.91004, Validation Loss: 1.98725
Epoch 28/50, Training Loss: 1.91173, Validation Loss: 1.98363
Epoch 29/50, Training Loss: 1.89832, Validation Loss: 1.99553
Epoch 30/50, Training Loss: 1.89609, Validation Loss: 1.98848
Epoch 31/50, Training Loss: 1.89434, Validation Loss: 1.98673
Epoch 32/50, Training Loss: 1.89252, Validation Loss: 1.98050
Epoch 33/50, Training Loss: 1.89046, Validation Loss: 1.97442
Epoch 34/50, Training Loss: 1.89297, Validation Loss: 1.97766
Epoch 35/50, Training Loss: 1.88259, Validation Loss: 1.99875
Epoch 36/50, Training Loss: 1.87976, Validation Loss: 1.98909
Epoch 37/50, Training Loss: 1.88064, Validation Loss: 1.98892
Epoch 38/50, Training Loss: 1.87902, Validation Loss: 1.97701
Epoch 39/50, Training Loss: 1.87565, Validation Loss: 1.98180
Epoch 40/50, Training Loss: 1.87648, Validation Loss: 2.00417
Epoch 41/50, Training Loss: 1.86983, Validation Loss: 1.98251
Epoch 42/50, Training Loss: 1.86718, Validation Loss: 1.98768
Epoch 43/50, Training Loss: 1.86153, Validation Loss: 1.98359
Epoch 44/50, Training Loss: 1.86101, Validation Loss: 1.99547
Epoch 45/50, Training Loss: 1.85929, Validation Loss: 1.99086
Epoch 46/50, Training Loss: 1.85741, Validation Loss: 1.98856
Epoch 47/50, Training Loss: 1.85696, Validation Loss: 1.98914
Epoch 48/50, Training Loss: 1.85210, Validation Loss: 2.00731
Epoch 49/50, Training Loss: 1.84865, Validation Loss: 1.99159
Epoch 50/50, Training Loss: 1.84993, Validation Loss: 1.99121
Finished Training!
